PRODUCT_ID|STORE_ID|PRODUCT_NAME|CATEGORY|PRICE|DISCOUNT|STOCK|STATUS
1|101|Product_1|Grocery|3489.76|9|339|ACTIVE
1|102|Product_1|Clothing|1908.2|17|271|ACTIVE
2|101|Product_2|Grocery|2184.97|23|281|ACTIVE
2|102|Product_2|Grocery|1823.87|14|138|ACTIVE
3|101|Product_3|Grocery|1331.88|3|369|ACTIVE
3|102|Product_3|Electronics|1646.18|23|274|ACTIVE
4|101|Product_4|Clothing|1007.23|6|378|ACTIVE
4|102|Product_4|Grocery|1454.85|18|500|ACTIVE
5|101|Product_5|Clothing|3024.27|3|426|ACTIVE
5|102|Product_5|Electronics|1551.61|11|91|ACTIVE
6|101|Product_6|Grocery|169.33|17|64|ACTIVE
6|102|Product_6|Grocery|323.03|1|283|ACTIVE
7|101|Product_7|Grocery|3517.35|4|326|ACTIVE
7|102|Product_7|Grocery|602.68|0|293|ACTIVE
8|101|Product_8|Grocery|2400.05|14|174|ACTIVE
8|102|Product_8|Electronics|4830.94|8|481|ACTIVE
9|101|Product_9|Grocery|659.03|2|205|ACTIVE
9|102|Product_9|Grocery|463.0|20|351|ACTIVE
10|101|Product_10|Electronics|843.46|25|288|ACTIVE
10|102|Product_10|Grocery|517.39|7|60|ACTIVE
11|101|Product_11|Clothing|3845.77|19|305|ACTIVE
11|102|Product_11|Clothing|1205.87|16|194|ACTIVE
12|101|Product_12|Grocery|4551.67|9|440|ACTIVE
12|102|Product_12|Clothing|4951.15|9|291|ACTIVE
13|101|Product_13|Clothing|395.13|30|378|ACTIVE
13|102|Product_13|Electronics|4743.19|6|320|ACTIVE
14|101|Product_14|Electronics|1396.77|2|80|ACTIVE
14|102|Product_14|Electronics|951.69|2|80|ACTIVE
15|101|Product_15|Electronics|2101.74|22|304|ACTIVE
15|102|Product_15|Grocery|1527.17|7|147|ACTIVE
16|101|Product_16|Clothing|1485.32|27|232|ACTIVE
16|102|Product_16|Electronics|3468.19|29|135|ACTIVE
